areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
region,London,E12000007,2022-07-26,775,3029115,584,2848858,191,180257
region,London,E12000007,2022-07-25,1251,3028340,936,2848274,315,180066
region,London,E12000007,2022-07-24,1216,3027089,899,2847338,317,179751
region,London,E12000007,2022-07-23,1113,3025873,905,2846439,208,179434
region,London,E12000007,2022-07-22,1436,3024760,1107,2845534,329,179226
region,London,E12000007,2022-07-21,1640,3023324,1239,2844427,401,178897
region,London,E12000007,2022-07-20,1927,3021684,1471,2843188,456,178496
region,London,E12000007,2022-07-19,1900,3019757,1412,2841717,488,178040
region,London,E12000007,2022-07-18,2300,3017857,1698,2840305,602,177552
region,London,E12000007,2022-07-17,2024,3015557,1537,2838607,487,176950
region,London,E12000007,2022-07-16,1873,3013533,1433,2837070,440,176463
region,London,E12000007,2022-07-15,2332,3011660,1738,2835637,594,176023
region,London,E12000007,2022-07-14,2689,3009328,1996,2833899,693,175429
region,London,E12000007,2022-07-13,3120,3006639,2346,2831903,774,174736
region,London,E12000007,2022-07-12,3353,3003519,2509,2829557,844,173962
region,London,E12000007,2022-07-11,3730,3000166,2800,2827048,930,173118
region,London,E12000007,2022-07-10,3208,2996436,2442,2824248,766,172188
region,London,E12000007,2022-07-09,2756,2993228,2146,2821806,610,171422
region,London,E12000007,2022-07-08,3099,2990472,2419,2819660,680,170812
region,London,E12000007,2022-07-07,3520,2987373,2647,2817241,873,170132
region,London,E12000007,2022-07-06,3965,2983853,2986,2814594,979,169259
region,London,E12000007,2022-07-05,4051,2979888,3026,2811608,1025,168280
region,London,E12000007,2022-07-04,4329,2975837,3258,2808582,1071,167255
region,London,E12000007,2022-07-03,3627,2971508,2766,2805324,861,166184
region,London,E12000007,2022-07-02,2822,2967881,2144,2802558,678,165323
region,London,E12000007,2022-07-01,3048,2965059,2330,2800414,718,164645
region,London,E12000007,2022-06-30,3169,2962011,2405,2798084,764,163927
region,London,E12000007,2022-06-29,3245,2958842,2443,2795679,802,163163
region,London,E12000007,2022-06-28,3119,2955597,2368,2793236,751,162361
region,London,E12000007,2022-06-27,3133,2952478,2398,2790868,735,161610
region,London,E12000007,2022-06-26,2471,2949345,1931,2788470,540,160875
region,London,E12000007,2022-06-25,2067,2946874,1611,2786539,456,160335
region,London,E12000007,2022-06-24,2186,2944807,1754,2784928,432,159879
region,London,E12000007,2022-06-23,2522,2942621,1957,2783174,565,159447
region,London,E12000007,2022-06-22,2630,2940099,2084,2781217,546,158882
region,London,E12000007,2022-06-21,2622,2937469,2079,2779133,543,158336
region,London,E12000007,2022-06-20,2500,2934847,1962,2777054,538,157793
region,London,E12000007,2022-06-19,2111,2932347,1720,2775092,391,157255
region,London,E12000007,2022-06-18,1825,2930236,1506,2773372,319,156864
region,London,E12000007,2022-06-17,1750,2928411,1421,2771866,329,156545
region,London,E12000007,2022-06-16,1816,2926661,1433,2770445,383,156216
