Date,Volume(V µg/m3)
15/08/2018,16
16/08/2018,18
17/08/2018,21
18/08/2018,14
19/08/2018,10
20/08/2018,25
21/08/2018,25
22/08/2018,21
23/08/2018,25
24/08/2018,21
25/08/2018,18
26/08/2018,28
27/08/2018,16
28/08/2018,25
29/08/2018,23
30/08/2018,24
31/08/2018,35
01/09/2018,37
02/09/2018,29
03/09/2018,21
04/09/2018,18
05/09/2018,24
06/09/2018,28
07/09/2018,22
08/09/2018,34
09/09/2018,14
10/09/2018,24
11/09/2018,23
12/09/2018,29
13/09/2018,30
14/09/2018,29
15/09/2018,33
16/09/2018,22
17/09/2018,40
18/09/2018,25
19/09/2018,18
20/09/2018,32
21/09/2018,24
22/09/2018,41
23/09/2018,23
24/09/2018,28
25/09/2018,38
26/09/2018,30
27/09/2018,27
28/09/2018,29
29/09/2018,33
30/09/2018,19
01/10/2018,25
02/10/2018,16
03/10/2018,30
04/10/2018,27
05/10/2018,32
06/10/2018,30
07/10/2018,26
08/10/2018,25
09/10/2018,34
10/10/2018,49
11/10/2018,37
12/10/2018,28
13/10/2018,20
14/10/2018,27
15/10/2018,27
16/10/2018,36
17/10/2018,32
18/10/2018,45
19/10/2018,53
20/10/2018,38
21/10/2018,22
22/10/2018,28
23/10/2018,20
24/10/2018,22
25/10/2018,28
26/10/2018,26
27/10/2018,19
28/10/2018,23
29/10/2018,32
30/10/2018,34
31/10/2018,54
01/11/2018,45
02/11/2018,44
03/11/2018,31
04/11/2018,29
05/11/2018,42
06/11/2018,37
07/11/2018,38
08/11/2018,42
09/11/2018,35
10/11/2018,44
11/11/2018,42
12/11/2018,42
13/11/2018,34
14/11/2018,44
15/11/2018,58
16/11/2018,36
17/11/2018,34
18/11/2018,21
19/11/2018,18
20/11/2018,18
21/11/2018,32
22/11/2018,42
23/11/2018,36
24/11/2018,24
25/11/2018,20
26/11/2018,36
27/11/2018,40
28/11/2018,35
29/11/2018,29
30/11/2018,29
01/12/2018,46
02/12/2018,30
03/12/2018,40
04/12/2018,61
05/12/2018,59
06/12/2018,41
07/12/2018,22
08/12/2018,17
09/12/2018,34
10/12/2018,59
11/12/2018,61
12/12/2018,48
13/12/2018,41
14/12/2018,55
15/12/2018,29
16/12/2018,41
17/12/2018,60
18/12/2018,44
19/12/2018,66
20/12/2018,51
21/12/2018,49
22/12/2018,30
23/12/2018,42
24/12/2018,59
25/12/2018,49
26/12/2018,29
27/12/2018,54
28/12/2018,39
29/12/2018,19
30/12/2018,19
31/12/2018,17
01/01/2019,16
02/01/2019,32
03/01/2019,46
04/01/2019,49
05/01/2019,27
06/01/2019,22
07/01/2019,26
08/01/2019,27
09/01/2019,35
10/01/2019,38
11/01/2019,39
12/01/2019,13
13/01/2019,10
14/01/2019,28
15/01/2019,27
16/01/2019,34
17/01/2019,30
18/01/2019,57
19/01/2019,38
20/01/2019,36
21/01/2019,44
22/01/2019,48
23/01/2019,53
24/01/2019,67
25/01/2019,36
26/01/2019,25
27/01/2019,12
28/01/2019,42
29/01/2019,43
30/01/2019,50
31/01/2019,48
01/02/2019,32
02/02/2019,29
03/02/2019,35
04/02/2019,35
05/02/2019,54
06/02/2019,53
07/02/2019,35
08/02/2019,27
09/02/2019,16
10/02/2019,33
11/02/2019,42
12/02/2019,45
13/02/2019,34
14/02/2019,61
15/02/2019,76
16/02/2019,34
17/02/2019,25
18/02/2019,26
19/02/2019,
20/02/2019,
21/02/2019,46
22/02/2019,67
23/02/2019,53
24/02/2019,44
25/02/2019,68
26/02/2019,74
27/02/2019,56
28/02/2019,37
01/03/2019,41
02/03/2019,24
03/03/2019,16
04/03/2019,21
05/03/2019,41
06/03/2019,40
07/03/2019,25
08/03/2019,36
09/03/2019,21
10/03/2019,24
11/03/2019,24
12/03/2019,23
13/03/2019,16
14/03/2019,17
15/03/2019,22
16/03/2019,23
17/03/2019,18
18/03/2019,34
19/03/2019,35
20/03/2019,31
21/03/2019,32
22/03/2019,25
23/03/2019,22
24/03/2019,18
25/03/2019,21
26/03/2019,29
27/03/2019,28
28/03/2019,39
29/03/2019,38
30/03/2019,20
31/03/2019,12
01/04/2019,36
02/04/2019,28
03/04/2019,29
04/04/2019,21
05/04/2019,30
06/04/2019,16
07/04/2019,11
08/04/2019,17
09/04/2019,15
10/04/2019,20
11/04/2019,38
12/04/2019,33
13/04/2019,17
14/04/2019,14
15/04/2019,19
16/04/2019,22
17/04/2019,18
18/04/2019,22
19/04/2019,25
20/04/2019,44
21/04/2019,35
22/04/2019,19
23/04/2019,10
24/04/2019,16
25/04/2019,37
26/04/2019,29
27/04/2019,15
28/04/2019,12
29/04/2019,27
30/04/2019,46
01/05/2019,37
02/05/2019,20
03/05/2019,22
04/05/2019,15
05/05/2019,20
06/05/2019,16
07/05/2019,30
08/05/2019,20
09/05/2019,25
10/05/2019,27
11/05/2019,27
12/05/2019,26
13/05/2019,43
14/05/2019,40
15/05/2019,39
16/05/2019,16
17/05/2019,13
18/05/2019,21
19/05/2019,16
20/05/2019,17
21/05/2019,15
22/05/2019,21
23/05/2019,21
24/05/2019,15
25/05/2019,15
26/05/2019,13
27/05/2019,11
28/05/2019,17
29/05/2019,29
30/05/2019,16
31/05/2019,15
01/06/2019,19
02/06/2019,21
03/06/2019,14
04/06/2019,32
05/06/2019,26
06/06/2019,32
07/06/2019,29
08/06/2019,22
09/06/2019,22
10/06/2019,21
11/06/2019,12
12/06/2019,16
13/06/2019,25
14/06/2019,36
15/06/2019,35
16/06/2019,21
17/06/2019,19
18/06/2019,24
19/06/2019,23
20/06/2019,22
21/06/2019,21
22/06/2019,19
23/06/2019,12
24/06/2019,25
25/06/2019,15
26/06/2019,15
27/06/2019,12
28/06/2019,12
29/06/2019,23
30/06/2019,10
01/07/2019,12
02/07/2019,15
03/07/2019,17
04/07/2019,18
05/07/2019,14
06/07/2019,10
07/07/2019,18
08/07/2019,20
09/07/2019,30
10/07/2019,22
11/07/2019,17
12/07/2019,16
13/07/2019,13
14/07/2019,9
15/07/2019,22
16/07/2019,28
17/07/2019,25
18/07/2019,17
19/07/2019,30
20/07/2019,17
21/07/2019,15
22/07/2019,11
23/07/2019,20
24/07/2019,22
25/07/2019,35
26/07/2019,29
27/07/2019,15
28/07/2019,18
29/07/2019,21
30/07/2019,20
31/07/2019,17
01/08/2019,14
02/08/2019,16
03/08/2019,35
04/08/2019,28
05/08/2019,18
06/08/2019,14
07/08/2019,15
08/08/2019,15
09/08/2019,21
10/08/2019,11
11/08/2019,10
12/08/2019,17
13/08/2019,18
14/08/2019,39
15/08/2019,17
16/08/2019,35
17/08/2019,12
18/08/2019,10
19/08/2019,
20/08/2019,
21/08/2019,19
22/08/2019,19
23/08/2019,26
24/08/2019,43
25/08/2019,30
26/08/2019,17
27/08/2019,34
28/08/2019,28
29/08/2019,20
30/08/2019,15
31/08/2019,14
01/09/2019,18
02/09/2019,21
03/09/2019,19
04/09/2019,16
05/09/2019,16
06/09/2019,18
07/09/2019,17
08/09/2019,22
09/09/2019,43
10/09/2019,21
11/09/2019,17
12/09/2019,19
13/09/2019,21
14/09/2019,27
15/09/2019,15
16/09/2019,18
17/09/2019,23
18/09/2019,31
19/09/2019,34
20/09/2019,33
21/09/2019,27
22/09/2019,35
23/09/2019,31
24/09/2019,40
25/09/2019,36
26/09/2019,25
27/09/2019,24
28/09/2019,22
29/09/2019,14
30/09/2019,28
01/10/2019,16
02/10/2019,23
03/10/2019,39
04/10/2019,33
05/10/2019,35
06/10/2019,20
07/10/2019,39
08/10/2019,23
09/10/2019,27
10/10/2019,19
11/10/2019,26
12/10/2019,28
13/10/2019,28
14/10/2019,30
15/10/2019,34
16/10/2019,43
17/10/2019,46
18/10/2019,42
19/10/2019,34
20/10/2019,13
21/10/2019,32
22/10/2019,44
23/10/2019,50
24/10/2019,48
25/10/2019,38
26/10/2019,31
27/10/2019,23
28/10/2019,36
29/10/2019,22
30/10/2019,30
31/10/2019,39
01/11/2019,41
02/11/2019,34
03/11/2019,36
04/11/2019,33
05/11/2019,22
06/11/2019,51
07/11/2019,22
08/11/2019,26
09/11/2019,40
10/11/2019,34
11/11/2019,32
