Date,Volume(V µg/m3)
15/08/2018,33
16/08/2018,33
17/08/2018,28
18/08/2018,29
19/08/2018,28
20/08/2018,17
21/08/2018,30
22/08/2018,26
23/08/2018,28
24/08/2018,33
25/08/2018,39
26/08/2018,22
27/08/2018,35
28/08/2018,29
29/08/2018,33
30/08/2018,33
31/08/2018,28
01/09/2018,35
02/09/2018,44
03/09/2018,29
04/09/2018,39
05/09/2018,38
06/09/2018,33
07/09/2018,38
08/09/2018,25
09/09/2018,44
10/09/2018,33
11/09/2018,41
12/09/2018,33
13/09/2018,27
14/09/2018,32
15/09/2018,25
16/09/2018,40
17/09/2018,15
18/09/2018,41
19/09/2018,47
20/09/2018,26
21/09/2018,44
22/09/2018,23
23/09/2018,34
24/09/2018,39
25/09/2018,34
26/09/2018,34
27/09/2018,31
28/09/2018,31
29/09/2018,29
30/09/2018,47
01/10/2018,37
02/10/2018,50
03/10/2018,29
04/10/2018,18
05/10/2018,24
06/10/2018,25
07/10/2018,28
08/10/2018,40
09/10/2018,40
10/10/2018,23
11/10/2018,26
12/10/2018,37
13/10/2018,40
14/10/2018,38
15/10/2018,35
16/10/2018,24
17/10/2018,30
18/10/2018,26
19/10/2018,13
20/10/2018,26
21/10/2018,40
22/10/2018,38
23/10/2018,48
24/10/2018,54
25/10/2018,48
26/10/2018,45
27/10/2018,49
28/10/2018,45
29/10/2018,26
30/10/2018,24
31/10/2018,8
01/11/2018,20
02/11/2018,25
03/11/2018,41
04/11/2018,29
05/11/2018,5
06/11/2018,6
07/11/2018,21
08/11/2018,21
09/11/2018,20
10/11/2018,21
11/11/2018,16
12/11/2018,25
13/11/2018,38
14/11/2018,26
15/11/2018,4
16/11/2018,5
17/11/2018,16
18/11/2018,32
19/11/2018,42
20/11/2018,44
21/11/2018,13
22/11/2018,4
23/11/2018,5
24/11/2018,16
25/11/2018,34
26/11/2018,20
27/11/2018,4
28/11/2018,32
29/11/2018,46
30/11/2018,46
01/12/2018,19
02/12/2018,36
03/12/2018,32
04/12/2018,6
05/12/2018,3
06/12/2018,25
07/12/2018,52
08/12/2018,62
09/12/2018,39
10/12/2018,17
11/12/2018,2
12/12/2018,10
13/12/2018,12
14/12/2018,4
15/12/2018,18
16/12/2018,27
17/12/2018,10
18/12/2018,28
19/12/2018,9
20/12/2018,20
21/12/2018,21
22/12/2018,40
23/12/2018,20
24/12/2018,8
25/12/2018,3
26/12/2018,16
27/12/2018,7
28/12/2018,24
29/12/2018,52
30/12/2018,45
31/12/2018,54
01/01/2019,55
02/01/2019,48
03/01/2019,25
04/01/2019,7
05/01/2019,42
06/01/2019,40
07/01/2019,41
08/01/2019,44
09/01/2019,40
10/01/2019,26
11/01/2019,29
12/01/2019,58
13/01/2019,67
14/01/2019,43
15/01/2019,45
16/01/2019,42
17/01/2019,43
18/01/2019,7
19/01/2019,15
20/01/2019,9
21/01/2019,15
22/01/2019,31
23/01/2019,27
24/01/2019,7
25/01/2019,33
26/01/2019,50
27/01/2019,61
28/01/2019,34
29/01/2019,29
30/01/2019,25
31/01/2019,18
01/02/2019,39
02/02/2019,40
03/02/2019,33
04/02/2019,44
05/02/2019,9
06/02/2019,28
07/02/2019,39
08/02/2019,52
09/02/2019,64
10/02/2019,39
11/02/2019,29
12/02/2019,23
13/02/2019,40
14/02/2019,13
15/02/2019,10
16/02/2019,43
17/02/2019,50
18/02/2019,53
19/02/2019,
20/02/2019,
21/02/2019,33
22/02/2019,10
23/02/2019,8
24/02/2019,11
25/02/2019,3
26/02/2019,5
27/02/2019,24
28/02/2019,23
01/03/2019,25
02/03/2019,48
03/03/2019,67
04/03/2019,64
05/03/2019,40
06/03/2019,37
07/03/2019,52
08/03/2019,45
09/03/2019,73
10/03/2019,63
11/03/2019,67
12/03/2019,70
13/03/2019,76
14/03/2019,74
15/03/2019,65
16/03/2019,60
17/03/2019,74
18/03/2019,47
19/03/2019,41
20/03/2019,40
21/03/2019,27
22/03/2019,43
23/03/2019,62
24/03/2019,68
25/03/2019,69
26/03/2019,59
27/03/2019,63
28/03/2019,50
29/03/2019,41
30/03/2019,67
31/03/2019,76
01/04/2019,49
02/04/2019,57
03/04/2019,53
04/04/2019,61
05/04/2019,54
06/04/2019,76
07/04/2019,75
08/04/2019,79
09/04/2019,87
10/04/2019,71
11/04/2019,52
12/04/2019,59
13/04/2019,78
14/04/2019,80
15/04/2019,65
16/04/2019,64
17/04/2019,76
18/04/2019,64
19/04/2019,81
20/04/2019,69
21/04/2019,72
22/04/2019,100
23/04/2019,89
24/04/2019,72
25/04/2019,38
26/04/2019,41
27/04/2019,63
28/04/2019,69
29/04/2019,41
30/04/2019,30
01/05/2019,46
02/05/2019,63
03/05/2019,62
04/05/2019,62
05/05/2019,61
06/05/2019,57
07/05/2019,41
08/05/2019,69
09/05/2019,65
10/05/2019,60
11/05/2019,57
12/05/2019,50
13/05/2019,54
14/05/2019,63
15/05/2019,61
16/05/2019,78
17/05/2019,81
18/05/2019,64
19/05/2019,66
20/05/2019,66
21/05/2019,70
22/05/2019,66
23/05/2019,65
24/05/2019,66
25/05/2019,60
26/05/2019,45
27/05/2019,57
28/05/2019,61
29/05/2019,36
30/05/2019,35
31/05/2019,35
01/06/2019,47
02/06/2019,49
03/06/2019,65
04/06/2019,39
05/06/2019,42
06/06/2019,42
07/06/2019,47
08/06/2019,54
09/06/2019,44
10/06/2019,44
11/06/2019,59
12/06/2019,54
