Date,Volume(V µg/m3)
15/08/2018,7
16/08/2018,6
17/08/2018,7
18/08/2018,8
19/08/2018,4
20/08/2018,8
21/08/2018,7
22/08/2018,6
23/08/2018,6
24/08/2018,5
25/08/2018,5
26/08/2018,7
27/08/2018,5
28/08/2018,9
29/08/2018,8
30/08/2018,6
31/08/2018,10
01/09/2018,12
02/09/2018,13
03/09/2018,6
04/09/2018,5
05/09/2018,7
06/09/2018,6
07/09/2018,5
08/09/2018,13
09/09/2018,4
10/09/2018,6
11/09/2018,6
12/09/2018,6
13/09/2018,8
14/09/2018,6
15/09/2018,7
16/09/2018,6
17/09/2018,11
18/09/2018,8
19/09/2018,8
20/09/2018,7
21/09/2018,4
22/09/2018,9
23/09/2018,6
24/09/2018,5
25/09/2018,10
26/09/2018,8
27/09/2018,8
28/09/2018,5
29/09/2018,10
30/09/2018,5
01/10/2018,5
02/10/2018,7
03/10/2018,7
04/10/2018,9
05/10/2018,8
06/10/2018,7
07/10/2018,6
08/10/2018,5
09/10/2018,7
10/10/2018,29
11/10/2018,27
12/10/2018,7
13/10/2018,7
14/10/2018,5
15/10/2018,6
16/10/2018,11
17/10/2018,9
18/10/2018,10
19/10/2018,18
20/10/2018,14
21/10/2018,9
22/10/2018,7
23/10/2018,9
24/10/2018,6
25/10/2018,4
26/10/2018,4
27/10/2018,4
28/10/2018,4
29/10/2018,7
30/10/2018,8
31/10/2018,19
01/11/2018,13
02/11/2018,12
03/11/2018,13
04/11/2018,18
05/11/2018,66
06/11/2018,39
07/11/2018,9
08/11/2018,10
09/11/2018,13
10/11/2018,12
11/11/2018,12
12/11/2018,8
13/11/2018,7
14/11/2018,9
15/11/2018,24
16/11/2018,30
17/11/2018,24
18/11/2018,13
19/11/2018,7
20/11/2018,4
21/11/2018,16
22/11/2018,26
23/11/2018,38
24/11/2018,21
25/11/2018,5
26/11/2018,8
27/11/2018,18
28/11/2018,12
29/11/2018,6
30/11/2018,7
01/12/2018,10
02/12/2018,8
03/12/2018,8
04/12/2018,22
05/12/2018,18
06/12/2018,7
07/12/2018,6
08/12/2018,6
09/12/2018,6
10/12/2018,9
11/12/2018,31
12/12/2018,22
13/12/2018,12
14/12/2018,20
15/12/2018,20
16/12/2018,10
17/12/2018,14
18/12/2018,10
19/12/2018,13
20/12/2018,8
21/12/2018,9
22/12/2018,5
23/12/2018,8
24/12/2018,15
25/12/2018,28
26/12/2018,15
27/12/2018,12
28/12/2018,5
29/12/2018,2
30/12/2018,2
31/12/2018,2
01/01/2019,1
02/01/2019,3
03/01/2019,15
04/01/2019,28
05/01/2019,10
06/01/2019,8
07/01/2019,8
08/01/2019,3
09/01/2019,8
10/01/2019,8
11/01/2019,6
12/01/2019,1
13/01/2019,1
14/01/2019,3
15/01/2019,3
16/01/2019,1
17/01/2019,
18/01/2019,
19/01/2019,18
20/01/2019,30
