Date,Volume (V µg/m3)
15/08/2018,&nbsp;
16/08/2018,&nbsp;
17/08/2018,&nbsp;
18/08/2018,6
19/08/2018,6
20/08/2018,6
21/08/2018,6
22/08/2018,8
23/08/2018,7
24/08/2018,5
25/08/2018,6
26/08/2018,7
27/08/2018,6
28/08/2018,6
29/08/2018,9
30/08/2018,9
31/08/2018,9
01/09/2018,11
02/09/2018,14
03/09/2018,15
04/09/2018,12
05/09/2018,10
06/09/2018,10
07/09/2018,6
08/09/2018,6
09/09/2018,6
10/09/2018,6
11/09/2018,8
12/09/2018,7
13/09/2018,11
14/09/2018,6
15/09/2018,7
16/09/2018,6
17/09/2018,7
18/09/2018,6
19/09/2018,7
20/09/2018,8
21/09/2018,5
22/09/2018,6
23/09/2018,6
24/09/2018,8
25/09/2018,11
26/09/2018,10
27/09/2018,12
28/09/2018,6
29/09/2018,11
30/09/2018,10
01/10/2018,6
02/10/2018,5
03/10/2018,8
04/10/2018,10
05/10/2018,16
06/10/2018,11
07/10/2018,7
08/10/2018,7
09/10/2018,11
10/10/2018,31
11/10/2018,10
12/10/2018,7
13/10/2018,8
14/10/2018,5
15/10/2018,9
16/10/2018,13
17/10/2018,10
18/10/2018,10
19/10/2018,13
20/10/2018,23
21/10/2018,14
22/10/2018,9
23/10/2018,10
24/10/2018,11
25/10/2018,11
26/10/2018,6
27/10/2018,6
28/10/2018,6
29/10/2018,6
30/10/2018,10
31/10/2018,12
01/11/2018,13
02/11/2018,16
03/11/2018,13
04/11/2018,15
05/11/2018,37
06/11/2018,18
07/11/2018,7
08/11/2018,9
09/11/2018,9
10/11/2018,8
11/11/2018,7
12/11/2018,&nbsp;
13/11/2018,&nbsp;
14/11/2018,10
15/11/2018,18
16/11/2018,13
17/11/2018,21
18/11/2018,13
19/11/2018,7
20/11/2018,13
21/11/2018,22
22/11/2018,40
23/11/2018,33
24/11/2018,23
25/11/2018,17
26/11/2018,12
27/11/2018,15
28/11/2018,&nbsp;
29/11/2018,&nbsp;
30/11/2018,8
01/12/2018,6
02/12/2018,4
03/12/2018,10
04/12/2018,11
05/12/2018,10
06/12/2018,7
07/12/2018,6
08/12/2018,9
09/12/2018,6
10/12/2018,9
11/12/2018,18
12/12/2018,14
13/12/2018,18
14/12/2018,22
15/12/2018,16
16/12/2018,9
17/12/2018,9
18/12/2018,8
19/12/2018,7
20/12/2018,8
21/12/2018,9
22/12/2018,9
23/12/2018,7
24/12/2018,15
25/12/2018,16
26/12/2018,16
27/12/2018,35
28/12/2018,26
29/12/2018,12
30/12/2018,11
31/12/2018,8
01/01/2019,9
02/01/2019,9
03/01/2019,9
04/01/2019,23
05/01/2019,21
06/01/2019,17
07/01/2019,11
08/01/2019,11
09/01/2019,10
10/01/2019,24
11/01/2019,15
12/01/2019,8
13/01/2019,7
14/01/2019,10
15/01/2019,7
16/01/2019,7
17/01/2019,9
18/01/2019,12
19/01/2019,14
20/01/2019,30
21/01/2019,34
22/01/2019,9
23/01/2019,14
24/01/2019,28
25/01/2019,18
26/01/2019,6
27/01/2019,8
28/01/2019,10
29/01/2019,11
30/01/2019,12
31/01/2019,21
01/02/2019,14
02/02/2019,14
03/02/2019,11
04/02/2019,9
05/02/2019,&nbsp;
06/02/2019,&nbsp;
07/02/2019,&nbsp;
08/02/2019,6
09/02/2019,8
10/02/2019,5
11/02/2019,9
12/02/2019,10
13/02/2019,14
14/02/2019,24
15/02/2019,29
16/02/2019,23
17/02/2019,19
18/02/2019,10
19/02/2019,9
20/02/2019,&nbsp;
21/02/2019,&nbsp;
22/02/2019,25
23/02/2019,29
24/02/2019,37
25/02/2019,39
26/02/2019,41
27/02/2019,46
28/02/2019,22
01/03/2019,20
02/03/2019,9
03/03/2019,7
04/03/2019,7
05/03/2019,6
06/03/2019,8
07/03/2019,7
08/03/2019,7
09/03/2019,11
10/03/2019,6
11/03/2019,8
12/03/2019,6
13/03/2019,9
14/03/2019,8
15/03/2019,5
16/03/2019,6
17/03/2019,6
18/03/2019,9
19/03/2019,12
20/03/2019,9
21/03/2019,10
22/03/2019,12
23/03/2019,13
24/03/2019,12
25/03/2019,10
26/03/2019,15
27/03/2019,11
28/03/2019,17
29/03/2019,27
30/03/2019,39
31/03/2019,21
01/04/2019,11
02/04/2019,18
03/04/2019,12
04/04/2019,7
05/04/2019,12
06/04/2019,14
07/04/2019,42
08/04/2019,41
09/04/2019,30
10/04/2019,11
11/04/2019,11
12/04/2019,13
13/04/2019,12
14/04/2019,18
15/04/2019,30
16/04/2019,43
17/04/2019,44
18/04/2019,43
19/04/2019,27
20/04/2019,25
21/04/2019,27
22/04/2019,45
23/04/2019,26
24/04/2019,21
25/04/2019,7
26/04/2019,7
27/04/2019,7
28/04/2019,8
29/04/2019,15
30/04/2019,17
01/05/2019,14
02/05/2019,9
03/05/2019,10
04/05/2019,8
05/05/2019,10
06/05/2019,9
07/05/2019,10
08/05/2019,9
09/05/2019,11
10/05/2019,10
11/05/2019,13
12/05/2019,8
13/05/2019,7
14/05/2019,9
15/05/2019,14
16/05/2019,11
17/05/2019,12
18/05/2019,18
19/05/2019,19
20/05/2019,14
21/05/2019,8
22/05/2019,7
23/05/2019,7
24/05/2019,10
25/05/2019,6
26/05/2019,6
27/05/2019,7
28/05/2019,6
29/05/2019,8
30/05/2019,7
31/05/2019,6
01/06/2019,8
02/06/2019,8
03/06/2019,8
04/06/2019,9
05/06/2019,7
06/06/2019,6
07/06/2019,16
08/06/2019,7
09/06/2019,7
10/06/2019,8
11/06/2019,7
12/06/2019,7
13/06/2019,8
14/06/2019,6
15/06/2019,7
16/06/2019,6
17/06/2019,7
18/06/2019,11
19/06/2019,11
20/06/2019,7
