Date,Volume(V µg/m3)
15/08/2018,19
16/08/2018,20
17/08/2018,21
18/08/2018,20
19/08/2018,14
20/08/2018,21
21/08/2018,21
22/08/2018,19
23/08/2018,26
24/08/2018,18
25/08/2018,23
26/08/2018,25
27/08/2018,14
28/08/2018,27
29/08/2018,22
30/08/2018,28
31/08/2018,35
01/09/2018,32
02/09/2018,23
03/09/2018,24
04/09/2018,19
05/09/2018,31
06/09/2018,30
07/09/2018,25
08/09/2018,34
09/09/2018,20
10/09/2018,26
11/09/2018,
12/09/2018,
13/09/2018,21
14/09/2018,25
15/09/2018,29
16/09/2018,16
17/09/2018,28
18/09/2018,23
19/09/2018,16
20/09/2018,32
21/09/2018,18
22/09/2018,26
23/09/2018,26
24/09/2018,30
25/09/2018,29
26/09/2018,18
27/09/2018,25
28/09/2018,31
29/09/2018,30
30/09/2018,21
01/10/2018,35
02/10/2018,19
03/10/2018,31
04/10/2018,25
05/10/2018,32
06/10/2018,29
07/10/2018,21
08/10/2018,19
09/10/2018,20
10/10/2018,42
11/10/2018,40
12/10/2018,
13/10/2018,
14/10/2018,
15/10/2018,
16/10/2018,
17/10/2018,
18/10/2018,
19/10/2018,
20/10/2018,
21/10/2018,
22/10/2018,
23/10/2018,
24/10/2018,
25/10/2018,
26/10/2018,
27/10/2018,
28/10/2018,
29/10/2018,
30/10/2018,
31/10/2018,
01/11/2018,
02/11/2018,
03/11/2018,
04/11/2018,
05/11/2018,
06/11/2018,
07/11/2018,
08/11/2018,51
09/11/2018,26
10/11/2018,31
11/11/2018,33
12/11/2018,39
13/11/2018,32
14/11/2018,32
15/11/2018,38
16/11/2018,37
17/11/2018,34
18/11/2018,40
19/11/2018,22
20/11/2018,16
21/11/2018,34
22/11/2018,62
23/11/2018,61
24/11/2018,46
25/11/2018,32
26/11/2018,50
27/11/2018,39
28/11/2018,25
29/11/2018,26
30/11/2018,32
01/12/2018,44
02/12/2018,43
03/12/2018,40
04/12/2018,58
05/12/2018,56
06/12/2018,47
07/12/2018,24
08/12/2018,22
09/12/2018,31
10/12/2018,54
11/12/2018,52
12/12/2018,39
13/12/2018,35
14/12/2018,49
15/12/2018,23
16/12/2018,33
17/12/2018,55
18/12/2018,33
19/12/2018,52
20/12/2018,48
21/12/2018,51
22/12/2018,32
23/12/2018,43
24/12/2018,45
25/12/2018,34
26/12/2018,48
27/12/2018,51
28/12/2018,46
29/12/2018,25
30/12/2018,29
31/12/2018,20
01/01/2019,18
02/01/2019,35
03/01/2019,53
04/01/2019,39
05/01/2019,36
06/01/2019,29
07/01/2019,26
08/01/2019,25
09/01/2019,34
10/01/2019,35
11/01/2019,39
12/01/2019,18
13/01/2019,16
14/01/2019,40
15/01/2019,24
16/01/2019,28
17/01/2019,39
18/01/2019,52
19/01/2019,38
20/01/2019,39
21/01/2019,54
22/01/2019,44
23/01/2019,56
24/01/2019,58
25/01/2019,31
26/01/2019,31
27/01/2019,12
28/01/2019,41
29/01/2019,46
30/01/2019,54
31/01/2019,73
01/02/2019,45
02/02/2019,39
03/02/2019,43
04/02/2019,37
05/02/2019,53
06/02/2019,49
07/02/2019,34
08/02/2019,21
09/02/2019,19
10/02/2019,42
11/02/2019,40
12/02/2019,38
13/02/2019,24
14/02/2019,47
15/02/2019,56
16/02/2019,29
17/02/2019,23
18/02/2019,28
19/02/2019,30
20/02/2019,28
21/02/2019,42
22/02/2019,45
23/02/2019,36
24/02/2019,46
25/02/2019,53
26/02/2019,66
27/02/2019,55
28/02/2019,42
01/03/2019,42
02/03/2019,28
03/03/2019,19
04/03/2019,26
05/03/2019,33
06/03/2019,
07/03/2019,
08/03/2019,37
09/03/2019,25
10/03/2019,34
11/03/2019,28
12/03/2019,25
13/03/2019,22
14/03/2019,25
15/03/2019,24
16/03/2019,28
17/03/2019,21
18/03/2019,42
19/03/2019,43
20/03/2019,34
21/03/2019,35
22/03/2019,29
23/03/2019,29
24/03/2019,21
25/03/2019,29
26/03/2019,33
27/03/2019,32
28/03/2019,40
29/03/2019,45
30/03/2019,37
31/03/2019,32
01/04/2019,40
02/04/2019,37
03/04/2019,29
04/04/2019,28
05/04/2019,22
06/04/2019,34
07/04/2019,23
08/04/2019,29
09/04/2019,22
10/04/2019,37
11/04/2019,36
12/04/2019,25
13/04/2019,24
14/04/2019,16
15/04/2019,19
16/04/2019,20
17/04/2019,28
18/04/2019,36
19/04/2019,42
20/04/2019,58
21/04/2019,24
22/04/2019,23
23/04/2019,27
24/04/2019,31
25/04/2019,38
26/04/2019,30
27/04/2019,24
28/04/2019,19
29/04/2019,38
30/04/2019,35
01/05/2019,38
02/05/2019,28
03/05/2019,30
04/05/2019,20
05/05/2019,26
06/05/2019,22
07/05/2019,25
08/05/2019,22
09/05/2019,28
10/05/2019,33
11/05/2019,41
12/05/2019,36
13/05/2019,38
14/05/2019,38
15/05/2019,34
16/05/2019,26
17/05/2019,25
18/05/2019,36
19/05/2019,31
20/05/2019,33
21/05/2019,26
22/05/2019,23
23/05/2019,23
24/05/2019,24
25/05/2019,27
26/05/2019,15
27/05/2019,24
28/05/2019,34
29/05/2019,36
30/05/2019,25
31/05/2019,24
01/06/2019,30
02/06/2019,19
03/06/2019,21
04/06/2019,33
05/06/2019,26
06/06/2019,33
07/06/2019,32
08/06/2019,25
09/06/2019,23
10/06/2019,23
11/06/2019,17
12/06/2019,19
13/06/2019,25
14/06/2019,35
15/06/2019,31
16/06/2019,19
17/06/2019,22
18/06/2019,27
19/06/2019,36
20/06/2019,29
21/06/2019,29
22/06/2019,27
23/06/2019,21
24/06/2019,33
25/06/2019,26
26/06/2019,28
27/06/2019,31
28/06/2019,
29/06/2019,
30/06/2019,
01/07/2019,
02/07/2019,29
03/07/2019,28
04/07/2019,22
05/07/2019,20
06/07/2019,15
07/07/2019,18
08/07/2019,31
09/07/2019,31
10/07/2019,30
11/07/2019,27
12/07/2019,23
13/07/2019,23
14/07/2019,17
15/07/2019,25
16/07/2019,33
17/07/2019,29
18/07/2019,22
19/07/2019,27
20/07/2019,19
21/07/2019,16
22/07/2019,11
23/07/2019,21
24/07/2019,27
25/07/2019,32
26/07/2019,31
27/07/2019,23
28/07/2019,19
29/07/2019,33
30/07/2019,29
31/07/2019,21
01/08/2019,21
02/08/2019,26
03/08/2019,23
04/08/2019,23
05/08/2019,24
06/08/2019,30
07/08/2019,23
08/08/2019,23
09/08/2019,23
10/08/2019,20
11/08/2019,21
12/08/2019,32
13/08/2019,30
14/08/2019,34
15/08/2019,27
16/08/2019,26
17/08/2019,18
18/08/2019,15
19/08/2019,24
20/08/2019,28
21/08/2019,22
22/08/2019,24
23/08/2019,26
24/08/2019,42
25/08/2019,42
26/08/2019,21
27/08/2019,
28/08/2019,
