Date,Volume(V µg/m3)
15/08/2018,35
16/08/2018,33
17/08/2018,32
18/08/2018,29
19/08/2018,28
20/08/2018,34
21/08/2018,37
22/08/2018,31
23/08/2018,26
24/08/2018,35
25/08/2018,37
26/08/2018,28
27/08/2018,39
28/08/2018,36
29/08/2018,37
30/08/2018,35
31/08/2018,35
01/09/2018,37
02/09/2018,52
03/09/2018,38
04/09/2018,49
05/09/2018,31
06/09/2018,32
07/09/2018,33
08/09/2018,29
09/09/2018,44
10/09/2018,38
11/09/2018,
12/09/2018,
13/09/2018,39
14/09/2018,41
15/09/2018,34
16/09/2018,51
17/09/2018,30
18/09/2018,52
19/09/2018,57
20/09/2018,39
21/09/2018,54
22/09/2018,47
23/09/2018,38
24/09/2018,38
25/09/2018,50
26/09/2018,41
27/09/2018,36
28/09/2018,25
29/09/2018,36
30/09/2018,46
01/10/2018,29
02/10/2018,50
03/10/2018,29
04/10/2018,28
05/10/2018,33
06/10/2018,32
07/10/2018,41
08/10/2018,55
09/10/2018,65
10/10/2018,33
11/10/2018,32
12/10/2018,47
13/10/2018,41
14/10/2018,33
15/10/2018,14
16/10/2018,29
17/10/2018,22
18/10/2018,26
19/10/2018,19
20/10/2018,27
21/10/2018,42
22/10/2018,46
23/10/2018,61
24/10/2018,59
25/10/2018,52
26/10/2018,53
27/10/2018,58
28/10/2018,40
29/10/2018,17
30/10/2018,20
31/10/2018,14
01/11/2018,20
02/11/2018,29
03/11/2018,43
04/11/2018,34
05/11/2018,12
06/11/2018,10
07/11/2018,33
08/11/2018,23
09/11/2018,41
10/11/2018,37
11/11/2018,26
12/11/2018,24
13/11/2018,44
14/11/2018,37
15/11/2018,14
16/11/2018,10
17/11/2018,19
18/11/2018,19
19/11/2018,50
20/11/2018,50
21/11/2018,26
22/11/2018,2
23/11/2018,2
24/11/2018,12
25/11/2018,43
26/11/2018,18
27/11/2018,15
28/11/2018,45
29/11/2018,57
30/11/2018,49
01/12/2018,22
02/12/2018,16
03/12/2018,32
04/12/2018,8
05/12/2018,5
06/12/2018,19
07/12/2018,52
08/12/2018,57
09/12/2018,33
10/12/2018,17
11/12/2018,5
12/12/2018,25
13/12/2018,24
14/12/2018,14
15/12/2018,30
16/12/2018,36
17/12/2018,7
18/12/2018,39
19/12/2018,15
20/12/2018,17
21/12/2018,17
22/12/2018,36
23/12/2018,17
24/12/2018,18
25/12/2018,11
26/12/2018,12
27/12/2018,8
28/12/2018,17
29/12/2018,49
30/12/2018,38
31/12/2018,54
01/01/2019,58
02/01/2019,49
03/01/2019,20
04/01/2019,19
05/01/2019,34
06/01/2019,32
07/01/2019,46
08/01/2019,50
09/01/2019,44
10/01/2019,26
11/01/2019,25
12/01/2019,57
13/01/2019,64
14/01/2019,36
15/01/2019,53
16/01/2019,49
17/01/2019,39
18/01/2019,13
19/01/2019,16
20/01/2019,11
21/01/2019,13
22/01/2019,35
23/01/2019,22
24/01/2019,9
25/01/2019,40
26/01/2019,49
27/01/2019,67
28/01/2019,38
29/01/2019,30
30/01/2019,24
31/01/2019,13
01/02/2019,34
02/02/2019,33
03/02/2019,28
04/02/2019,41
05/02/2019,9
06/02/2019,35
07/02/2019,37
08/02/2019,60
09/02/2019,65
10/02/2019,30
11/02/2019,27
12/02/2019,35
13/02/2019,61
14/02/2019,31
15/02/2019,15
16/02/2019,54
17/02/2019,51
18/02/2019,56
19/02/2019,53
20/02/2019,59
21/02/2019,39
22/02/2019,26
23/02/2019,23
24/02/2019,20
25/02/2019,6
26/02/2019,7
27/02/2019,19
28/02/2019,32
01/03/2019,23
02/03/2019,45
03/03/2019,72
04/03/2019,57
05/03/2019,49
06/03/2019,
07/03/2019,
08/03/2019,50
09/03/2019,72
10/03/2019,52
11/03/2019,65
12/03/2019,71
13/03/2019,73
14/03/2019,68
15/03/2019,70
16/03/2019,62
17/03/2019,73
18/03/2019,44
19/03/2019,36
20/03/2019,38
21/03/2019,32
22/03/2019,43
23/03/2019,58
24/03/2019,71
25/03/2019,64
26/03/2019,54
27/03/2019,55
28/03/2019,52
29/03/2019,47
30/03/2019,55
31/03/2019,57
01/04/2019,49
02/04/2019,53
03/04/2019,62
04/04/2019,78
05/04/2019,67
06/04/2019,61
07/04/2019,80
08/04/2019,79
09/04/2019,92
10/04/2019,62
11/04/2019,62
12/04/2019,82
13/04/2019,86
14/04/2019,95
15/04/2019,84
16/04/2019,88
17/04/2019,84
18/04/2019,65
19/04/2019,64
20/04/2019,60
21/04/2019,105
22/04/2019,114
23/04/2019,92
24/04/2019,79
25/04/2019,48
26/04/2019,42
27/04/2019,62
28/04/2019,72
29/04/2019,47
30/04/2019,50
01/05/2019,45
02/05/2019,65
03/05/2019,58
04/05/2019,63
05/05/2019,64
06/05/2019,58
07/05/2019,61
08/05/2019,78
09/05/2019,72
10/05/2019,58
11/05/2019,44
12/05/2019,47
13/05/2019,58
14/05/2019,81
15/05/2019,72
16/05/2019,77
17/05/2019,76
18/05/2019,49
19/05/2019,50
20/05/2019,48
21/05/2019,55
22/05/2019,55
23/05/2019,60
24/05/2019,60
25/05/2019,43
26/05/2019,43
27/05/2019,61
28/05/2019,47
29/05/2019,35
30/05/2019,25
31/05/2019,23
01/06/2019,36
02/06/2019,44
03/06/2019,58
04/06/2019,49
05/06/2019,46
06/06/2019,48
07/06/2019,54
08/06/2019,66
09/06/2019,48
10/06/2019,52
11/06/2019,61
12/06/2019,55
13/06/2019,46
14/06/2019,34
15/06/2019,39
16/06/2019,54
17/06/2019,58
18/06/2019,55
19/06/2019,47
20/06/2019,49
21/06/2019,46
22/06/2019,56
23/06/2019,56
24/06/2019,43
25/06/2019,50
26/06/2019,47
27/06/2019,34
28/06/2019,
29/06/2019,
30/06/2019,
01/07/2019,
02/07/2019,33
03/07/2019,38
04/07/2019,33
05/07/2019,34
06/07/2019,44
07/07/2019,48
08/07/2019,36
09/07/2019,20
10/07/2019,22
11/07/2019,26
12/07/2019,35
13/07/2019,36
14/07/2019,33
15/07/2019,35
16/07/2019,39
17/07/2019,35
18/07/2019,35
19/07/2019,26
20/07/2019,31
21/07/2019,35
22/07/2019,28
23/07/2019,39
24/07/2019,52
25/07/2019,78
26/07/2019,32
27/07/2019,33
28/07/2019,64
29/07/2019,37
30/07/2019,43
31/07/2019,51
01/08/2019,51
02/08/2019,45
03/08/2019,51
04/08/2019,57
05/08/2019,34
06/08/2019,31
07/08/2019,43
08/08/2019,45
09/08/2019,47
10/08/2019,33
11/08/2019,39
12/08/2019,34
13/08/2019,37
14/08/2019,23
15/08/2019,33
16/08/2019,21
17/08/2019,47
18/08/2019,47
19/08/2019,37
20/08/2019,40
21/08/2019,34
22/08/2019,28
23/08/2019,31
24/08/2019,37
25/08/2019,71
26/08/2019,67
27/08/2019,
28/08/2019,
29/08/2019,43
30/08/2019,49
31/08/2019,51
01/09/2019,47
02/09/2019,41
03/09/2019,39
04/09/2019,40
05/09/2019,40
06/09/2019,38
07/09/2019,41
08/09/2019,36
09/09/2019,28
10/09/2019,27
11/09/2019,37
12/09/2019,27
13/09/2019,33
14/09/2019,39
15/09/2019,45
16/09/2019,32
17/09/2019,37
18/09/2019,24
19/09/2019,27
20/09/2019,23
21/09/2019,35
22/09/2019,14
23/09/2019,28
