Date,Volume(V µg/m3)
15/08/2018,4
16/08/2018,
17/08/2018,
18/08/2018,
19/08/2018,
20/08/2018,
21/08/2018,5
22/08/2018,5
23/08/2018,7
24/08/2018,4
25/08/2018,6
26/08/2018,7
27/08/2018,4
28/08/2018,7
29/08/2018,7
30/08/2018,11
31/08/2018,13
01/09/2018,14
02/09/2018,14
03/09/2018,5
04/09/2018,5
05/09/2018,10
06/09/2018,6
07/09/2018,4
08/09/2018,6
09/09/2018,5
10/09/2018,8
11/09/2018,
12/09/2018,
13/09/2018,6
14/09/2018,5
15/09/2018,7
16/09/2018,6
17/09/2018,9
18/09/2018,11
19/09/2018,14
20/09/2018,9
21/09/2018,3
22/09/2018,8
23/09/2018,6
24/09/2018,6
25/09/2018,9
26/09/2018,6
27/09/2018,6
28/09/2018,5
29/09/2018,8
30/09/2018,7
01/10/2018,7
02/10/2018,11
03/10/2018,9
04/10/2018,5
05/10/2018,6
06/10/2018,8
07/10/2018,7
08/10/2018,10
09/10/2018,11
10/10/2018,31
11/10/2018,31
12/10/2018,8
13/10/2018,7
14/10/2018,7
15/10/2018,12
16/10/2018,16
17/10/2018,10
18/10/2018,14
19/10/2018,19
20/10/2018,8
21/10/2018,4
22/10/2018,13
23/10/2018,10
24/10/2018,5
25/10/2018,5
26/10/2018,5
27/10/2018,5
28/10/2018,5
29/10/2018,8
30/10/2018,8
31/10/2018,19
01/11/2018,12
02/11/2018,10
03/11/2018,12
04/11/2018,20
05/11/2018,62
06/11/2018,48
07/11/2018,14
08/11/2018,23
09/11/2018,15
10/11/2018,11
11/11/2018,14
12/11/2018,16
13/11/2018,10
14/11/2018,12
15/11/2018,24
16/11/2018,35
17/11/2018,24
18/11/2018,23
19/11/2018,10
20/11/2018,8
21/11/2018,21
22/11/2018,31
23/11/2018,26
24/11/2018,13
25/11/2018,5
26/11/2018,8
27/11/2018,16
28/11/2018,13
29/11/2018,11
30/11/2018,7
01/12/2018,11
02/12/2018,14
03/12/2018,9
04/12/2018,28
05/12/2018,39
06/12/2018,14
07/12/2018,9
08/12/2018,5
09/12/2018,3
10/12/2018,16
11/12/2018,56
12/12/2018,27
13/12/2018,19
14/12/2018,28
15/12/2018,21
16/12/2018,10
17/12/2018,20
18/12/2018,16
19/12/2018,24
20/12/2018,18
21/12/2018,10
22/12/2018,5
23/12/2018,6
24/12/2018,6
25/12/2018,13
26/12/2018,17
27/12/2018,15
28/12/2018,9
29/12/2018,5
30/12/2018,7
31/12/2018,6
01/01/2019,7
